video_id,, ,Captions,,,
118395,,," Lemon & Lime Meet, Fall In Love with each other, Get Married, Have Troubles, Have Sweet Times And They Lived Happily Ever After.","Lemon & Lime Meet, Fall In Love with each other, Get Married, Have Troubles, Have Sweet Times And They Lived Happily Ever After.","Lemon & Lime Meet, Fall In Love with each other, Get Married, Have Troubles, Have Sweet Times And They Lived Happily Ever After.","Lemon & Lime Meet, Fall In Love with each other, Get Married, Have Troubles, Have Sweet Times And They Lived Happily Ever After."
118395,,," In this video animation with thread is very beatiful., ",,,
118395,,," Sawdust ignites well when mixed with the right ratio of air, so he devised this contraption. I hope to have an example of this at night- which is a truly spectacular effect! The intent of this is for special effects in a low-budget war film I'm scheming to start soon... err, someday.",,,
118395,,,"""STANDBY"" was produced as a solo project during the second semester at the German Film School in 2007.",,,
118395,,,"This mapping technique is nothing new, but I'm hoping to bring something a bit different to it with the forced parallax effect and camera movements - these should work better in the open space of the warehouse where I won't have a kitchen table in the way!",,,
118395,,,This is story about Captain Cumulus using 2d animation .,,,
118395,,,"When a geometric visitor from another planet becomes your new roommate and shares with you the tragic state of its home world, you drop your guitar and see what you can do. Process: hand drawn animation",,,
471658,,,This video shows fahion of different people with great effects and sound.,,,
481547,,,"The narration was sadly necessary for my audio production module, even though I sound super lame.,the same song in one of duplo's awesome animation videos, California Snow Story.",,,
626026,,,This is the story of a boy and a whale on an adventure.,,,
637026,,,25 seconds of pure fly,,,
646107,,,Made with Processing. Audio by The Flashbulb ('Warren' off the album These Open Fields).,,,
749804,,,A Tale Of Rock was created by John Godwin and Stephen Payne for their final degree project whilst studying 3D Animation at the University Of Hertfordshire.It is the story of an epic rock battle between a plucky lizard and the mighty rock god of the carve.,,,
779096,,,This video shows the story using 2d animation and drawing.,,,
803479,,,"after effects + particles + music, music: the field - a paw in my face",,,
863268,,,"the images of the electronic microscopes., 3ds Max animation with Scanline Render and After Effects for the composition.",,,
884359,,,"'Eliza' is in reference to the Eliza Effect, which is when we associate human characteristics with machines.",,,
884359,,,A young girl realizes it is her friend's birthday and decides to hire a Dinosaur transportation service (by payment of kisses) to gather presents to give to the birthday celebrant who lives cross country.,,,
884359,,,"The general idea behind the festival is simple, add visuals to one of the tracks in the new Ghosts album. I took more of an abstract tech approach. Enjoy!",,,
955920,,,Amazing music video in which more 700 real wool knits are animated to create a poetic interpretation of canadian winters.,,,
956494,,,"This video highlights cultural icons that one would traditionally consider to be associated with the UK. Their true origins are revealed. The objects are portrayed in heavily stylised vector drawings, as to highlight their apparent familiarity to UK residents.This film has a tone of instructional kid’s TV: an immigration relations officer for the police told me that the children in immigrant families learn to integrate much quicker than the adults, and thus act as a conduit to the parents. This format also delivers the information in a way which isn’t patronising.Instead of being aimed at immigrants or migrant workers, this is a ‘cultural guide’ for every citizen of the United Kingdom; explaining that the UK has prospered as an effect foreign input.",,,
978850,,,"This video is on Barcelona 2007, This video is on football.",,,
994502,,,"The movements are timed to segment start times and duration, filtered by a threshold of attack emphasis (the fourth timbre basis function in Echo Nest Analysis). Colors are mapped by the first three timbre basis functions. The twelve glowing lights sources are mapped to the twelve pitches of the chromatic scale (regardless of octave modulation). The whole visualization is wrapped in a sphere with a custom lighting system so that all twelve lights shine on the walls to create ambient lighting.",,,
1017298,,,"A lonely fellow is watching a plane in the sky. Suddenly a cheerful bird attracts his attention, which marks the beginning of a dramatic relationship, bringing us straight to the origin of all creation.",,,
1026070,,,"2008 Short Film featured at William's talk at this year's BarCamp Belfast.Join the 20th Century's most devious, yet adorable German, Kaiser Wilhelm II, as he introduces a family of no nonsense, stiff upper lip Brits to this new taste sensation that's taken Europe by storm! You'll be more than happy to ignore the many historical inaccuracies in the telling of this short but savoury tale, but a word of caution, don't mention the war!",,,
1108157,,,The film is a combination of live action and composited elements. Creating a skewed and dreamlike environment in which the story takes place. The live action was shot on digibeta on a blue screen stage with some set-build elements and the compositing was done using After Effects and Shake. The film was made in my final year on The National Film and Television School MA Animation program in 2002.,,,
1109029,,," to choose a meaningful quote and animate it focusing on depth, repetition of words, scale, and camera movements. The song is ""New Year's Resolution"" by The Limousines",,,
1154958,,,"Putting images on the music of this Montreal artist was a big challenge. Bass, a mechanical construction, and a lot more Bass. The creative process was the same as Poirier’s during the musical composition: a perpetual multiplication of elements to build a unique world.",,,
1185346,,,"Animated light paintings of a little piano player performing. Filmed at night with the lovely I-5 and San Diego skyline in the background. I would like to thank everyone for the fantastic feedback I have received lately. To answer a few questions, I wrote the music and recorded it first. The frames were photographed with a Canon Rebel using 20-30 second exposure time. I used a small green LED keychain light to draw each frame. Once all the positions were photographed they were strung together and synchronized to the music in After Effects.",,,
1378417,,,a short film inspired by a few of Jean Michel Basquiat's drawings,,,
1392246,,,This video shows fight between gangsters.,,,
1418995,,,Making our own fireworks show.  an extrapolation of Fireplays into the world of weddings,,,
1447617,,,"short animation film about what is fascinating me the most, dreams... you can do what you want in your dreams, nothing is impossible...",,,
1592756,,,"Special video, for a special friend.This video is To Find Their Love",,,
1711798,,,This lightwriting video  was done for sky movies in London.,,,
1774645,,,an artist's translation of a story of a girl's memory into a visualized form of time,,,
1881572,,,one minute short film I made during my 3rd year at Supinfocom Arles. The theme was the puppet.,,,
1912474,,,The story of star's journey to turn into the sun.,,,
1961164,,,We all feel down sometimes.That Autumn Feeling,,,
1988927,,,This video is about Ninja.,,,
1989082,,,A short student film inspired by the Arthur C. Clarke novel.,,,
2007048,,,"Mutsugoto is an intimate communication device intended for a bedroom environment. Instead of exchanging e-mail or SMS messages using generic interfaces in business-like venues, Mutsugoto allows distant partners to communicate through the language of touch as expressed on the canvas of the human body. A custom computer vision and projection system allows users to draw on each other's bodies while lying in bed. Drawings are transmitted ""live"" between the two beds, enabling a different kind of synchronous communication that leverages the emotional quality of physical gesture.",,,
2113262,,,A chaotic look at the carving of a pumpkin.Remind me not to carve pumpkins.,,,
2253292,,,Another Pincilman and Mr Bunnykins story this time its about dinner.,,,
2285902,,,Amazing classic that deserves a little new hype.,,,
2516099,,,"Color study made entirely with light, entirely in camera. All motion of color elements were created solely with hand movements.",,,
2604599,,,"incorporated additive blending, a frame buffer, binning, and fft spectrum analysis",,,
2826822,,,"Amino Assets blends lo-fi box geometries with hi-res textures, global illumination and artificial linear 3D/parallax camera movements.It illustrates the creative process of database design or designing things without a preconception: while browsing through databases of images, the creative combination of tags leads to unexpected findings. on the production end, this results in the recombination of images previously not considered to be in the same category. Our own version of imagineering.",,,
2912476,,,A short animation created in 3D to visualize the the natural power in SEA2O.It's an experiment of techniques witch combines 3D animation with real photo shoots. ,,,
3008591,,,the VFS 3D Animation & Visual Effects program.,,,
3067345,,,"The 2008 version of the gaze-driven camera ""EyeSeeCam"". The eye movement is tracked by cameras attached on both sides using infrared reflecting hot mirrors. The gaze-driven camera follows saccades, smooth pursuit, and stabilization movements, caused by the vestibulo-ocular reflex.",,,
3117336,,,the theme was to adapt an ancient myth to steampunk stylings. I chose the myth about the fountain of youth for my topic.,,,
3256948,,,"Catwalk – Black Cat Crossing’ is a humorous animated short film that takes the viewer into a
lovely and detailed designed comic city. There you're going to witness a row of odd incidents
that are obviously related to Matilda, a quite inconspicuous old lady.",,,
3272156,,,lovely and detailed designed comic city. There you're going to witness a row of odd incidents,,,
3322003,,,"that are obviously related to Matilda, a quite inconspicuous old lady.",,,
3363671,,,This video shows black ball with 3d effect,,,
3369380,,,In this video sound effects are very nicely placed.,,,
3386840,,,This is great. The animations really fit in with the world ,,,
3477999,,,In this video this song is greatly imaginative and explosively creative! ,,,
3720361,,,creativity is impressive is an animated short that really fun! I love the part where things up with the mind and the theme of star wars! ,,,
